article_id,source,title,url,extracted_at_utc,query,media_cloud_story_count,media_cloud_matched_story_count,media_cloud_unique_hosts,media_cloud_story_ids,status
697cd21f-7d9d-4145-a534-6d7585a530bd,KRCU,Two-Minute Drill: Redhawk Student-Athletes Earn All-Conference Honors,https://www.krcu.org/2025-12-04/two-minute-drill-redhawk-student-athletes-earn-all-conference-honors,2025-12-05T07:11:32.022606+00:00,"""Two-Minute Drill: Redhawk Student-Athletes Earn All-Conference Honors""",0,0,,,ok
0186ac5f-8858-47e3-9e88-5393c78e4bbd,KSMU Ozarks Public Radio,Defense secretary under fire as lawmakers question admiral about deadly boat strikes,https://www.ksmu.org/2025-12-05/defense-secretary-under-fire-as-lawmakers-question-admiral-about-deadly-boat-strikes,2025-12-05T15:07:31.758034+00:00,"""Defense secretary under fire as lawmakers question admiral about deadly boat strikes""",3,3,kanw.org|npr.org|kunm.org,ec605c25bdab98d76901bd3d15e69a809529859db090dcd48e6a0492635e5aab|93fcc0a740895a91869e9f1b289c8f405fccd26ddb282d186ddddea39bdd491a|4a53cd27714cd8385a934529d37ef5a432b60c64fafd357ec66143f6d6a58dcf,ok
4cd3a9f5-fcc1-4b64-b883-61b474df6477,KSMU Ozarks Public Radio,Rep. Jim Himes recounts briefing on U.S. boat strike in the Caribbean,https://www.ksmu.org/2025-12-05/rep-jim-himes-recounts-briefing-on-u-s-boat-strike-in-the-caribbean,2025-12-05T14:05:33.910394+00:00,"""Rep. Jim Himes recounts briefing on U.S. boat strike in the Caribbean""",3,3,kanw.org|npr.org|kunm.org,51bd1004f64ade4a706837a88682eb0b02487ab5943ec4573f2e14ffd49375ee|aa746baceea30eea94efa939b45d3ca70fba4515542c061ba9e1828207b643b5|27553340140667009e9fbc28aafac33be25c2976c4b080fe3c6a90ec744b18d3,ok
f90aad44-1166-42c8-ba5c-612744c2f292,KSMU Ozarks Public Radio,"FBI arrests man who allegedly planted pipe bombs near DNC, RNC before Jan. 6 attack",https://www.ksmu.org/2025-12-05/fbi-arrests-man-who-allegedly-planted-pipe-bombs-near-dnc-rnc-before-jan-6-attack,2025-12-05T13:39:02.224672+00:00,"""FBI arrests man who allegedly planted pipe bombs near DNC, RNC before Jan. 6 attack""",1,1,npr.org,819344da71d2a7c111a9b6da16eb3961128239173e2e9de1a3d8904bfb71e31d,ok
4dfb3f26-2288-42c3-b634-4d34f8932885,Memphis Democrat,PHYLLIS ANN MALLETT,https://www.memphisdemocrat.com/2025/12/04/phyllis-ann-mallett,2025-12-05T09:25:42.848411+00:00,"""PHYLLIS ANN MALLETT""",1,0,,,ok
ac256ef4-96bc-4e1a-8c36-f19cac7284d7,Memphis Democrat,Highway Patrol Reminds Drivers to Prepare for Winter Conditions,https://www.memphisdemocrat.com/2025/12/04/highway-patrol-reminds-drivers-to-prepare-for-winter-conditions,2025-12-05T08:29:40.241496+00:00,"""Highway Patrol Reminds Drivers to Prepare for Winter Conditions""",3,1,palmyra-spectator.com,be1582e5985597dd8952479b98578f2872b8796ec04dbdfc121213457d4ce47b,ok
ddfbd595-ecea-4457-a2e3-090cfb33a7e6,Missouri Lawyers,Real Property-Construction Defects-Statute of Repose,https://molawyersmedia.com/2025/12/04/real-property-construction-defects-statute-of-repose,2025-12-05T02:07:14.376046+00:00,"""Real Property-Construction Defects-Statute of Repose""",0,0,,,ok
fbd4e0cc-e84a-465d-91ff-f58f5c1fc39f,Missouri Lawyers,Criminal Law-Post-Conviction Relief-Ineffective Assistance of Counsel,https://molawyersmedia.com/2025/12/04/criminal-law-post-conviction-relief-ineffective-assistance-of-counsel-67,2025-12-05T01:44:21.076335+00:00,"""Criminal Law-Post-Conviction Relief-Ineffective Assistance of Counsel""",0,0,,,ok
43f07697-4d60-4d94-b033-a207b9a40e28,News Press Now,Cameron Public Library unveils new children’s space to engage local families,https://www.newspressnow.com/news/2025/12/04/cameron-public-library-unveils-new-childrens-space-to-engage-local-families,2025-12-05T07:24:20.254287+00:00,"""Cameron Public Library unveils new children’s space to engage local families""",0,0,,,ok
e99ec647-475a-4971-96e0-deada5e30dab,News Press Now,"Scientists document over 16,000 footprints in the world’s most extensive dinosaur tracksite",https://www.newspressnow.com/cnn/2025/12/04/scientists-document-over-16000-footprints-in-the-worlds-most-extensive-dinosaur-tracksite,2025-12-05T07:09:59.688295+00:00,"""Scientists document over 16,000 footprints in the world’s most extensive dinosaur tracksite""",0,0,,,ok
